FROM,TO,TIME,AIRLINE
MXP,CPT,00:20,AAL
PVG,CPT,22:35,AEE
DXB,ATL,23:20,LOT
ORD,HND,11:10,SWR
LHR,MXP,10:20,WZZ
MAD,MXP,11:00,KLM
LAX,DFW,09:10,AAL
FRA,DXB,03:50,BAW
MAD,ZRH,05:10,WZZ
MAD,DXB,23:40,UAL
ATL,ORD,08:15,FIN
MAD,CDG,13:05,AZA
PEK,FRA,08:00,SWR
ORD,FRA,07:35,AZA
LAX,ORD,11:30,ANA
ORD,CPT,19:05,BAW
CPT,ATL,05:20,LOT
LHR,JFK,18:40,KLM
LAX,CDG,06:55,UAL
HND,FCO,21:15,AZA
LHR,ORD,18:40,AZA
AMS,LAX,11:30,KLM
SIN,HND,13:30,AFR
ATL,MXP,20:45,DLH
ZRH,SIN,21:50,AZA
DXB,CPT,12:25,KLM
PEK,NRT,09:10,SWR
PEK,MXP,13:20,BAW
PEK,LAX,01:05,ANA
MAD,NRT,00:50,MAS
NRT,LHR,00:40,KLM
FRA,LHR,19:05,ANA
ORD,ATL,13:50,LOT
ZRH,DFW,16:10,WZZ
MAD,LHR,03:10,IBE
ATL,DXB,08:05,AFR
DFW,SIN,14:15,IBE
MXP,AMS,07:30,AEE
FRA,FCO,12:05,UAL
PEK,CDG,06:15,WZZ
PVG,DXB,22:00,ANA
HND,MAD,19:30,WZZ
LAX,FCO,05:00,KLM
AMS,FCO,20:20,DLH
ATL,DFW,00:45,AZA
NRT,JFK,18:30,DLH
MXP,LAX,16:45,SWR
HND,CDG,06:55,WZZ
ATL,MAD,10:55,MAS
DXB,NRT,09:30,BAW
FRA,PEK,11:35,KLM
LAX,HND,19:05,BAW
AMS,CDG,12:45,AZA
AMS,MXP,05:50,RYR
FRA,CPT,20:00,IBE
LAX,NRT,11:40,IBE
LAX,HND,03:50,SWR
ZRH,JFK,16:00,AAL
ORD,LHR,04:50,IBE
ORD,MXP,10:30,ANA
FCO,ORD,10:05,IBE
DXB,AMS,22:10,FIN
SIN,DFW,04:45,WZZ
SIN,LAX,11:35,AFR
CDG,SIN,18:35,DLH
PEK,NRT,15:20,BAW
MAD,LAX,22:25,KLM
ZRH,PVG,04:55,LOT
DFW,SIN,18:55,SWR
FCO,LAX,05:15,AFR
ZRH,SIN,14:05,AZA
PEK,JFK,23:20,BAW
CPT,LHR,23:00,BAW
DFW,MXP,09:25,IBE
CDG,NRT,03:20,AFR
SIN,LHR,01:20,AFR
AMS,MXP,06:50,DLH
MXP,HND,23:40,IBE
ZRH,PEK,10:00,DLH
DXB,HND,06:35,AFR
AMS,PVG,07:40,RYR
PEK,MAD,02:05,MAS
HND,AMS,17:20,AAL
LHR,JFK,15:55,KLM
LAX,CDG,02:15,AZA
SIN,ZRH,13:15,AFL
SIN,LAX,17:40,SWR
ZRH,CPT,01:45,UAL
AMS,DFW,22:40,FIN
ZRH,NRT,12:25,DLH
NRT,FCO,09:45,AZA
HND,ATL,12:05,DLH
SIN,NRT,00:50,BAW
SIN,CDG,10:00,AEE
ZRH,DXB,07:55,RYR
AMS,SIN,12:40,WZZ
MAD,LAX,00:05,DLH
DXB,ORD,07:50,UAL
ORD,CPT,09:00,AFR
HND,FCO,17:50,AZA
PVG,CDG,01:05,LOT
LAX,NRT,08:05,SWR
AMS,ATL,05:20,ANA
JFK,DXB,22:30,LOT
NRT,ATL,22:40,ANA
PVG,CDG,04:40,ANA
CPT,ATL,01:55,KLM
SIN,HND,23:40,AZA
CDG,JFK,07:10,KLM
FRA,MAD,12:55,IBE
FRA,LHR,16:10,FIN
MAD,MXP,15:25,RYR
MXP,MAD,18:00,WZZ
LHR,DFW,22:55,AFR
FCO,LHR,00:05,BAW
MXP,SIN,21:05,AFR
FCO,AMS,17:10,AAL
DXB,PVG,13:05,MAS
CPT,LAX,08:45,SWR
DXB,PEK,00:00,MAS
PVG,FCO,10:25,UAL
HND,FRA,06:25,LOT
HND,MAD,05:15,AAL
ZRH,CDG,19:45,AEE
DXB,ATL,16:15,DLH
SIN,LAX,07:35,KLM
AMS,DFW,20:15,RYR
LHR,CDG,11:25,IBE
AMS,SIN,05:10,FIN
JFK,FCO,14:45,RYR
CPT,SIN,19:35,DLH
MXP,ATL,10:10,AEE
ZRH,SIN,10:20,AAL
HND,CDG,07:35,WZZ
FRA,CDG,22:05,RYR
PVG,MAD,14:10,IBE
LHR,FRA,15:20,KLM
DXB,CDG,04:45,RYR
HND,MAD,23:20,SWR
CDG,HND,18:55,WZZ
PVG,ATL,21:55,DLH
CDG,ZRH,20:55,FIN
SIN,FCO,20:10,ANA
LAX,MXP,07:30,KLM
DFW,LAX,02:05,AEE
JFK,PVG,00:25,ANA
FCO,NRT,18:25,BAW
AMS,SIN,17:10,AAL
CPT,PVG,18:45,IBE
NRT,LAX,21:25,IBE
PEK,ATL,14:40,BAW
ATL,ORD,17:50,AFR
LHR,ZRH,03:45,UAL
ATL,SIN,08:20,AFL
ZRH,MAD,04:40,AZA
AMS,LAX,19:05,IBE
ORD,ATL,20:10,DLH
LHR,CDG,16:00,BAW
FRA,AMS,21:20,AFL
ZRH,LAX,01:40,UAL
MXP,NRT,02:55,DLH
PVG,PEK,08:00,AFL
ORD,NRT,02:10,SWR
AMS,NRT,15:40,BAW
FCO,ORD,07:10,AZA
PVG,ZRH,20:35,SWR
PEK,AMS,07:20,IBE
DFW,SIN,17:30,AZA
ZRH,PEK,23:30,AFR
NRT,FCO,05:55,AFL
JFK,PVG,06:20,KLM
ATL,PVG,13:30,AZA
PEK,HND,11:40,WZZ
MXP,ORD,13:55,AFL
ZRH,PVG,05:20,AEE
JFK,MAD,20:45,AFR
JFK,DXB,23:05,AZA
HND,CDG,17:10,BAW
DFW,LHR,13:15,SWR
SIN,NRT,18:20,AZA
HND,PVG,01:20,DLH
HND,MXP,06:30,MAS
ZRH,CPT,22:45,MAS
ATL,PEK,01:00,WZZ
ATL,FCO,06:25,UAL
ATL,LHR,03:00,WZZ
JFK,DXB,05:10,FIN
LAX,ATL,02:45,FIN
LAX,SIN,19:35,DLH
LAX,FCO,22:05,AZA
AMS,LHR,13:40,AEE
LHR,HND,07:00,RYR
SIN,DFW,12:45,FIN
CPT,LHR,00:45,BAW
CPT,LAX,01:25,AFL
CDG,ATL,04:45,MAS
MAD,HND,05:55,BAW
MXP,LAX,09:30,AFL
AMS,HND,13:20,RYR
CDG,DXB,21:50,MAS
LAX,CPT,07:30,UAL
LHR,FRA,14:45,AFL
ZRH,FCO,21:25,FIN
CPT,SIN,18:35,DLH
ZRH,LHR,07:40,FIN
FRA,JFK,12:25,IBE
ORD,MAD,20:50,WZZ
HND,AMS,02:10,DLH
AMS,JFK,22:15,AAL
PVG,FRA,16:20,AZA
CDG,LAX,08:35,AFL
FCO,SIN,01:10,AZA
CDG,JFK,00:20,WZZ
PVG,FRA,10:20,BAW
NRT,JFK,21:40,RYR
CDG,JFK,16:35,UAL
FCO,PEK,15:05,DLH
SIN,FCO,08:10,FIN
PEK,ZRH,00:55,FIN
FRA,NRT,11:45,MAS
MXP,CDG,01:50,UAL
CDG,FCO,07:55,AEE
CDG,PVG,16:25,FIN
DFW,MXP,08:25,IBE
SIN,LHR,10:15,ANA
DFW,ATL,22:50,ANA
DXB,ZRH,08:05,AZA
FCO,DFW,03:25,IBE
FRA,ORD,00:10,FIN
AMS,ORD,22:10,AFR
ATL,PEK,07:20,BAW
CDG,LHR,21:30,UAL
PEK,LHR,15:20,IBE
MXP,FRA,06:05,DLH
LHR,NRT,06:05,AEE
MXP,PEK,20:40,SWR
LHR,AMS,22:25,KLM
DXB,HND,17:05,FIN
ZRH,MAD,02:45,UAL
LAX,ATL,06:15,RYR
DXB,DFW,09:30,ANA
JFK,LHR,01:50,WZZ
NRT,ATL,01:45,RYR
PEK,AMS,21:40,RYR
JFK,HND,07:35,IBE
LAX,ORD,14:50,SWR
ZRH,PEK,21:55,UAL
DFW,AMS,10:05,ANA
CDG,DFW,06:40,AAL
CDG,ORD,23:30,UAL
ATL,JFK,01:25,ANA
SIN,MAD,21:25,AFL
DFW,LHR,05:20,AAL
PVG,MAD,13:30,SWR
ATL,PVG,22:35,AEE
LHR,DXB,08:55,AZA
ORD,CDG,18:35,LOT
ZRH,LHR,18:45,KLM
DXB,LAX,14:00,DLH
MXP,LAX,14:25,WZZ
HND,AMS,22:55,FIN
CDG,NRT,04:55,MAS
JFK,SIN,16:30,AFL
DFW,MXP,06:40,RYR
PEK,PVG,18:20,AFL
FCO,SIN,22:40,AAL
NRT,FRA,15:50,ANA
MAD,SIN,23:50,MAS
DFW,CPT,07:00,LOT
MAD,MXP,09:45,KLM
DFW,PEK,09:20,AZA
FCO,HND,17:50,MAS
CDG,LHR,03:35,AFL
HND,MAD,23:30,IBE
NRT,AMS,22:00,ANA
ATL,CPT,04:55,AFL
ORD,MXP,12:20,AEE
CDG,MAD,06:25,AAL
ZRH,FCO,00:30,SWR
CDG,NRT,01:40,BAW
SIN,PVG,16:35,UAL
PEK,FCO,09:45,AFR
ZRH,DXB,22:20,DLH
NRT,FRA,03:25,AFR
SIN,LHR,12:25,DLH
MAD,DXB,03:15,DLH
DXB,JFK,20:15,AFL
LAX,HND,21:20,BAW
AMS,ORD,08:10,SWR
JFK,LAX,08:45,SWR
ATL,MAD,16:05,AFL
CDG,MXP,06:05,DLH
ATL,MAD,13:55,WZZ
LAX,PEK,03:25,RYR
FRA,HND,08:15,KLM
AMS,CDG,18:15,AAL
JFK,CDG,15:15,SWR
CDG,AMS,10:10,AZA
FRA,DXB,11:15,ANA
MAD,CPT,17:10,AEE
ZRH,JFK,15:25,AZA
MAD,MXP,04:00,AFL
CPT,PVG,11:30,FIN
CDG,ATL,17:00,KLM
NRT,ATL,09:10,AZA
SIN,HND,00:45,DLH
CPT,FCO,14:30,UAL
DXB,FCO,08:10,FIN
CPT,NRT,17:35,AFR
FRA,SIN,18:20,FIN
DXB,MXP,19:25,BAW
ATL,PVG,03:20,MAS
CPT,FRA,16:40,KLM
CPT,SIN,04:00,UAL
DFW,NRT,02:30,AFL
PVG,ORD,07:35,AFL
AMS,PEK,17:55,AAL
FCO,CDG,20:50,LOT
FCO,CDG,00:20,ANA
DFW,CPT,19:25,AAL
PEK,FCO,19:40,WZZ
PVG,MXP,12:45,UAL
AMS,PEK,10:50,AFL
CPT,HND,02:05,LOT
MXP,HND,07:15,ANA
AMS,PVG,13:50,KLM
HND,LHR,06:35,RYR
FRA,PEK,00:40,IBE
DXB,CPT,02:30,FIN
AMS,ATL,02:15,LOT
JFK,LHR,14:30,MAS
FRA,JFK,21:55,AFL
AMS,NRT,03:45,WZZ
JFK,ATL,13:50,AFR
CDG,PVG,18:50,RYR
DFW,CDG,09:50,DLH
MXP,AMS,17:50,IBE
FCO,CDG,22:40,AAL
ORD,CPT,09:45,MAS
NRT,FCO,04:45,SWR
CPT,ORD,10:20,LOT
ATL,SIN,04:50,WZZ
MXP,MAD,05:35,RYR
NRT,FCO,17:20,MAS
FCO,LHR,08:35,AAL
SIN,CDG,00:05,WZZ
JFK,LAX,00:55,IBE
JFK,ATL,00:15,AAL
JFK,MXP,04:35,DLH
DFW,LHR,03:20,DLH
JFK,ZRH,17:10,IBE
DFW,HND,06:20,AFR
DXB,ATL,17:20,RYR
FCO,PEK,12:40,ANA
LHR,ATL,13:10,AZA
FCO,PVG,05:50,UAL
LAX,PVG,02:35,AEE
JFK,FCO,15:45,DLH
MXP,CPT,06:30,BAW
MAD,LAX,16:15,AFR
FCO,LHR,06:20,BAW
MAD,ATL,20:50,RYR
MXP,LAX,13:00,FIN
JFK,FCO,17:00,BAW
MXP,ATL,06:35,WZZ
LAX,MXP,08:40,WZZ
JFK,PVG,05:00,SWR
JFK,LAX,00:30,SWR
NRT,SIN,12:10,FIN
MAD,SIN,23:40,UAL
AMS,FCO,17:35,AZA
FCO,ZRH,01:05,WZZ
ORD,FCO,17:00,MAS
DFW,FRA,21:55,MAS
AMS,FRA,03:20,SWR
CPT,MAD,08:00,FIN
PVG,ZRH,09:50,AEE
PVG,NRT,10:30,AFL
LAX,AMS,01:35,DLH
PVG,HND,21:30,AEE
SIN,PEK,05:35,KLM
SIN,ATL,03:05,MAS
CPT,ZRH,00:30,KLM
DFW,ATL,09:50,AZA
MXP,JFK,14:35,RYR
FRA,ZRH,05:45,RYR
LAX,MAD,15:25,AEE
LAX,PVG,05:50,AAL
NRT,FRA,10:20,AFR
LHR,SIN,19:50,LOT
JFK,ORD,22:05,SWR
PVG,ATL,01:35,RYR
MXP,FRA,12:00,RYR
ORD,NRT,18:05,LOT
ZRH,HND,08:20,BAW
ATL,HND,06:30,MAS
MXP,DFW,04:05,WZZ
AMS,DFW,02:30,DLH
DFW,HND,14:25,WZZ
ZRH,JFK,03:30,SWR
ORD,PVG,01:50,UAL
PEK,ATL,04:15,FIN
LHR,NRT,00:20,UAL
FCO,AMS,06:40,KLM
JFK,FRA,22:10,KLM
ORD,SIN,19:45,FIN
JFK,ZRH,15:55,AFR
NRT,FRA,23:05,AFR
ORD,DXB,01:45,RYR
ORD,HND,04:55,BAW
MXP,MAD,07:10,AAL
PVG,ORD,02:55,AEE
MAD,CDG,11:50,AFL
JFK,SIN,05:15,MAS
FRA,MAD,06:20,AEE
LAX,HND,09:15,MAS
NRT,JFK,23:00,UAL
ATL,HND,08:55,IBE
JFK,DXB,00:20,AAL
DXB,DFW,17:35,WZZ
MAD,AMS,14:50,FIN
CDG,LAX,08:50,BAW
MXP,PVG,13:50,AAL
CPT,ORD,03:00,DLH
DFW,CDG,12:30,AZA
DXB,MAD,20:05,LOT
CDG,MXP,12:15,AFL
PEK,FCO,18:00,DLH
DXB,JFK,06:40,FIN
FCO,HND,06:55,ANA
LHR,CPT,16:40,AAL
MAD,PEK,11:50,RYR
CDG,JFK,00:50,ANA
MXP,FRA,18:45,UAL
ZRH,JFK,21:15,AZA
JFK,ORD,10:35,AZA
PEK,DFW,05:05,IBE
DFW,HND,13:40,AFR
JFK,DXB,19:15,MAS
ATL,LAX,06:40,MAS
FCO,AMS,12:00,FIN
LHR,ATL,20:50,IBE
CPT,NRT,09:45,AAL
CPT,PEK,07:55,FIN
ORD,NRT,20:25,AFR
ORD,CDG,08:00,DLH
CDG,NRT,23:45,LOT
CDG,ZRH,02:25,AAL
DXB,ATL,12:30,IBE
PEK,SIN,12:55,AAL
MAD,MXP,14:45,AFR
MXP,CDG,01:40,ANA
CDG,JFK,18:30,KLM
NRT,MAD,23:30,IBE
SIN,CPT,23:05,RYR
HND,NRT,12:25,AFL
AMS,DXB,01:00,MAS
SIN,PEK,06:30,AFR
SIN,MAD,20:20,AFR
HND,PEK,13:55,LOT
ORD,DXB,04:55,LOT
ATL,DFW,22:20,AFL
CDG,DFW,18:50,RYR
ZRH,PEK,17:10,BAW
ATL,PVG,04:20,RYR
MXP,MAD,09:35,UAL
CDG,PVG,06:30,ANA
FCO,ORD,03:25,RYR
JFK,FRA,05:55,IBE
CPT,PEK,00:50,MAS
FRA,PVG,19:10,DLH
AMS,DFW,15:35,AFL
MAD,ORD,23:30,AFL
LAX,ZRH,23:25,RYR
DXB,DFW,18:25,AAL
DXB,LHR,14:35,ANA
SIN,MXP,17:50,SWR
ZRH,ATL,04:45,SWR
CDG,AMS,13:25,AFR
MXP,SIN,12:00,FIN
CPT,ZRH,01:35,AEE
LAX,ATL,12:05,MAS
ATL,CDG,05:15,BAW
LHR,AMS,15:00,DLH
LAX,ATL,12:25,UAL
DXB,MAD,15:30,BAW
ATL,NRT,23:15,AFL
ATL,MAD,19:00,DLH
AMS,HND,02:15,RYR
LHR,DFW,05:15,DLH
MAD,FCO,19:15,AEE
PEK,MXP,01:20,AZA
SIN,AMS,06:40,AFR
NRT,LAX,14:30,MAS
AMS,MXP,00:25,WZZ
PVG,JFK,03:40,WZZ
MXP,CDG,22:40,AFL
AMS,HND,18:40,WZZ
PVG,PEK,11:50,AAL
NRT,MAD,21:30,FIN
LAX,CDG,07:25,AEE
PVG,MXP,00:45,MAS
JFK,SIN,00:35,WZZ
MXP,NRT,08:35,AAL
DFW,LHR,10:50,AEE
ORD,FCO,11:45,AZA
ZRH,NRT,01:25,LOT
HND,AMS,07:45,SWR
PVG,PEK,19:55,BAW
LHR,MAD,02:10,AAL
PVG,PEK,01:10,AZA
CDG,LHR,05:30,AAL
DFW,FCO,09:35,AEE
MXP,ORD,09:55,MAS
PEK,HND,00:55,AAL
LHR,SIN,06:35,IBE
PEK,LAX,23:15,FIN
ORD,FRA,06:10,KLM
DFW,ATL,18:55,UAL
LAX,PVG,08:40,FIN
JFK,CPT,21:25,AFR
MXP,CPT,00:30,AFR
NRT,ZRH,19:15,UAL
LAX,MAD,09:25,FIN
FCO,PVG,20:55,AZA
MAD,CPT,18:35,MAS
MAD,ATL,13:05,ANA
LHR,ZRH,15:25,DLH
PVG,AMS,19:05,AZA
ATL,MXP,13:10,RYR
CPT,FCO,21:30,AZA
PEK,ATL,07:20,WZZ
LAX,FCO,11:10,BAW
ORD,DXB,02:25,AEE
FRA,ATL,02:40,LOT
LHR,FRA,02:10,AAL
PEK,PVG,16:45,BAW
ZRH,ATL,01:30,RYR
ATL,FRA,21:45,MAS
SIN,AMS,13:55,MAS
ATL,ZRH,04:50,BAW
AMS,ORD,00:05,WZZ
ZRH,MAD,09:25,WZZ
LAX,PVG,03:00,WZZ
DXB,AMS,18:40,AZA
CDG,ATL,21:55,BAW
CDG,AMS,15:55,BAW
ATL,ORD,21:30,IBE
DXB,MAD,15:15,FIN
ORD,MXP,21:30,MAS
ZRH,LAX,06:45,AFR
LHR,DXB,12:10,FIN
FRA,PEK,19:55,BAW
DXB,FRA,00:55,BAW
AMS,PEK,19:00,AAL
JFK,MAD,22:05,BAW
HND,MAD,17:30,UAL
LHR,ZRH,06:15,AFL
ATL,SIN,06:05,FIN
DXB,AMS,11:15,BAW
FRA,JFK,17:20,MAS
PVG,FCO,18:20,FIN
DFW,AMS,10:10,AFR
DXB,ZRH,12:15,SWR
PEK,NRT,12:05,KLM
ZRH,PVG,07:25,AFR
JFK,HND,19:55,AEE
FRA,ORD,03:25,LOT
LHR,ORD,14:45,WZZ
CPT,CDG,14:20,BAW
ORD,ATL,08:35,ANA
DFW,MAD,18:45,SWR
DFW,FRA,03:20,AZA
MAD,SIN,04:00,AEE
SIN,ATL,04:30,ANA
MAD,NRT,15:05,ANA
FCO,MXP,10:30,RYR
LAX,PEK,19:45,AFL
NRT,JFK,03:45,AFR
FRA,ORD,15:40,FIN
PVG,MXP,17:10,ANA
MAD,LAX,07:00,AAL
ZRH,JFK,13:05,LOT
MAD,ORD,09:15,ANA
JFK,ZRH,03:15,RYR
PVG,MXP,00:05,UAL
LHR,MAD,13:05,AEE
AMS,ORD,07:05,AFR
CDG,NRT,20:40,WZZ
HND,AMS,13:10,RYR
DXB,ORD,05:30,WZZ
LAX,PVG,15:25,LOT
SIN,CDG,15:55,AAL
CDG,FCO,06:25,AZA
DXB,MAD,18:50,AEE
JFK,AMS,07:10,MAS
MAD,LAX,01:35,KLM
CDG,AMS,00:10,IBE
MXP,ATL,15:45,LOT
LAX,MXP,21:25,IBE
ORD,ATL,07:30,AFL
AMS,JFK,01:50,ANA
FCO,SIN,19:05,MAS
SIN,CPT,02:00,ANA
CPT,CDG,23:10,IBE
FCO,PEK,11:55,DLH
AMS,LAX,11:20,WZZ
ZRH,FCO,00:25,SWR
ZRH,FCO,06:30,AFL
JFK,MAD,06:55,ANA
ATL,CDG,11:30,BAW
PVG,MAD,05:10,AFR
ZRH,JFK,15:35,AAL
MXP,LAX,21:00,AEE
JFK,LHR,17:40,FIN
PVG,FCO,22:00,SWR
FCO,ORD,02:30,DLH
DXB,HND,00:25,AFL
FCO,LAX,15:25,AFR
ATL,SIN,09:35,AFL
CDG,MXP,17:00,KLM
MXP,PVG,09:00,IBE
FCO,ORD,12:45,BAW
MXP,HND,19:50,RYR
LAX,FCO,04:25,LOT
MXP,SIN,23:05,BAW
NRT,ORD,11:45,LOT
PVG,CPT,21:10,LOT
MAD,AMS,06:40,DLH
CPT,MXP,12:25,IBE
HND,CDG,17:35,UAL
FCO,PEK,22:15,IBE
DFW,MAD,18:35,RYR
MAD,ORD,14:05,KLM
ATL,PVG,12:55,RYR
FCO,PEK,01:10,BAW
ORD,HND,17:35,SWR
LHR,LAX,09:40,SWR
DFW,ORD,11:30,IBE
CPT,ORD,00:55,AZA
JFK,HND,18:05,MAS
LAX,FRA,19:25,DLH
ORD,HND,03:25,WZZ
CDG,DFW,10:20,RYR
SIN,NRT,15:55,AFL
CPT,ATL,18:10,AEE
CPT,DFW,06:10,LOT
PVG,LAX,16:10,AAL
LAX,FRA,15:10,AFL
NRT,PEK,05:25,WZZ
LAX,LHR,03:25,KLM
SIN,PEK,12:55,MAS
NRT,PVG,10:40,RYR
ATL,SIN,23:30,ANA
NRT,MXP,10:55,MAS
DXB,CPT,01:25,AZA
FCO,NRT,16:50,LOT
JFK,HND,19:25,FIN
ORD,ATL,04:25,AFL
FCO,DFW,04:55,RYR
AMS,JFK,07:40,UAL
SIN,ZRH,14:25,AEE
PEK,CDG,22:00,DLH
JFK,FRA,14:20,UAL
DXB,ZRH,01:45,ANA
MAD,ATL,08:05,AZA
PEK,ZRH,08:55,FIN
ORD,JFK,11:55,SWR
ATL,PVG,01:30,AZA
MAD,JFK,14:25,ANA
LAX,MXP,04:25,ANA
HND,NRT,06:05,RYR
JFK,ORD,00:55,DLH
PVG,LHR,10:25,ANA
LAX,NRT,15:15,SWR
LAX,SIN,22:00,AFR
AMS,ATL,02:35,MAS
MXP,NRT,08:50,AEE
CDG,FRA,19:40,SWR
MAD,HND,15:15,IBE
DFW,MAD,11:40,WZZ
JFK,MAD,09:15,AFR
ZRH,SIN,07:30,AFR
ORD,ATL,01:40,BAW
FRA,JFK,08:50,IBE
DXB,LHR,05:05,DLH
PEK,MAD,03:20,AAL
CDG,MAD,13:45,FIN
MAD,MXP,18:45,KLM
ATL,FCO,13:35,RYR
HND,LHR,00:20,BAW
LAX,MAD,05:40,AFL
ORD,PEK,10:15,FIN
SIN,ORD,04:00,AFR
HND,JFK,14:35,AAL
ATL,PVG,03:30,IBE
FCO,CPT,08:45,UAL
PEK,HND,02:10,AZA
ATL,FCO,12:20,AFL
NRT,HND,06:15,AZA
DFW,ZRH,00:30,KLM
CPT,FCO,06:35,BAW
DFW,PVG,18:20,DLH
ZRH,FRA,09:55,DLH
AMS,HND,23:00,DLH
ORD,ATL,07:50,ANA
CPT,ORD,10:05,IBE
NRT,PVG,08:40,RYR
PVG,NRT,06:50,FIN
MXP,DXB,17:55,UAL
PEK,AMS,00:10,WZZ
FRA,PEK,15:00,UAL
MXP,FRA,14:15,FIN
ORD,DXB,04:25,WZZ
SIN,ZRH,00:00,UAL
PEK,JFK,13:20,WZZ
CPT,DXB,02:50,FIN
FRA,PVG,03:15,AFL
FRA,MXP,07:10,WZZ
SIN,CDG,06:25,IBE
AMS,ORD,11:55,DLH
SIN,NRT,07:20,RYR
DFW,MAD,09:00,RYR
MXP,SIN,17:55,ANA
ZRH,LAX,18:20,RYR
CPT,SIN,21:20,MAS
ZRH,PEK,03:00,IBE
FRA,LHR,10:00,BAW
DXB,JFK,13:30,AFL
FRA,SIN,04:00,FIN
CDG,PVG,03:30,AZA
SIN,ORD,10:30,RYR
DFW,CDG,13:40,SWR
ATL,CPT,13:55,WZZ
FCO,PEK,20:00,AEE
HND,LAX,19:20,UAL
PVG,LHR,20:40,AZA
